key,language,translation
inf_welcome,en,Welcome to our application
news,en,News: Multi-language selection English and French added. Currently only on the student page.
frm_name,en,Last Name
frm_first,en,First Name
frm_level,en,Level
frm_birthDt,en,Date of Birth
frm_chooseLvl,en,Choose a level
frm_prof,en,Professors
frm_createStud,en,Create Student
frm_addStud,en,Add New Student
frm_srchPlcHldr,en,Search by name or first name...
opt_all,en,All
tbH_name,en,Last Name
tbH_first,en,First Name
tbH_level,en,Level
tbH_birthDt,en,Date of Birth
tbH_prof,en,Professors
msg_req,en,This field is required
msg_noInfo,en,No student information available.
msg_chosenStud,en,Chosen student
msg_noProf,en,No assigned professors
msg_loadStuds,en,Loading student data...
msg_loadErr,en,Error loading. Please try again.
msg_selStud,en,Please select a student.
msg_noStud,en,No student found.
msg_chooseTest,en,Choose the tests to perform:
msg_ctg,en,Catalogues management
msg_chosenCtg,en,Chosen catalogue
msg_noCtg,en,No catalogue found.
msg_errCreateStud,en,Error create student. Please try again.
msg_na,en,Not available
pgH_studMgmt,en,Student Management
pgH_studSel,en,Student Selection
rpt_selStudRpt,en,Reports obtained by selected student: {{name}}
NIV_desc0,en,Senior Kindergarten
NIV_desc1,en,Grade 1
NIV_desc2,en,Grade 2
NIV_desc3,en,Grade 3
NIV_desc4,en,Grade 4
NIV_desc5,en,Grade 5
nav_Stud,en,Student
nav_chooseStud,en,Choose a student
nav_chooseConf,en,Choose a configuration
nav_chooseCtg,en,Choose a catalog
nav_help,en,Need help?
pgH_histo,en,History
pgH_confMgmt,en,PDF Configuration
pgH_ctgMgmt,en,Test Catalog Management
pgH_rptMgmt,en,Report Management
pgH_overview,en,Overview of ongoing tests
pgH_PDF,en,Print
pgH_iconPDF,en,Print with icons
pgH_logout,en,Logout
pgH_login,en,Login
nav_menu,en,Menu
nav_chooseRpt,en,Choose to edit or create a report
tbH_rptId,en,Report ref
tbH_createdAt,en,Created at
hlp_globalHelp,en,General Help
hlp_introDescription,en,"The assessment application allows for entering test results and creating associated reports. The reports can be saved in PDF format for printing when needed. These reports include student and teacher information, spider graphs, and results of problematic tests."
hlp_accessMenu,en,Access to Menu
hlp_accessMenuDesc,en,The menu collapses and can be accessed by clicking the icon in the top left.
hlp_statusBar,en,Status Bar
hlp_statusBarDesc,en,"The upper bar displays the status of ongoing actions (selected student, catalog, configuration, or report). Actions still required before printing the report appear in yellow. For example, if no student is selected, the action to select a student will be highlighted in yellow. Navigation to the student management page is also possible through the menu."
hlp_news,en,What's New
hlp_newsDesc,en,Here are the latest updates in the application.
btn_close,en,Close
hlp_needHelp,en,Need help?
hlp_wellcomeHelp,en,Welcome to the help section
hlp_reportOverview,en,"Report Overview: The report contains the header with the logo, the test date, the student’s name, teacher’s name, and their level. The radar graph is drawn based on the thresholds configured by the application administrator."
hlp_histo,en,Report History
pgH_histo_description,en,This page allows you to view the history of reports and see incomplete reports marked in red.
hlp_refresh_data,en,Refresh data
pgH_refresh_data_description,en,"If some reports are not displayed, you can refresh to update the reports shown."
hlp_red_reports,en,Red reports
pgH_red_reports_description,en,Reports shown in red need to be re-edited: test data is missing.
hlp_expand_icon,en,Expand icon
pgH_expand_icon_description,en,"To show the test progress by category, click on '▲'. To hide them, click on '▼'."
hlp_studMgmt,en,Student Management
pgH_studMgmt_description,en,Create or select a student and report.
hlp_filter_students,en,Filter students
pgH_filter_students_description,en,"You can search by student’s name or first name, and also filter by level."
hlp_add_student,en,Add a student
pgH_add_student_description,en,"If the student is not yet in the database, you can create them."
hlp_select_student,en,Select a student
pgH_select_student_description,en,The selected student will be highlighted in a different color. You can only select one student at a time.
hlp_PDF,en,View and print the PDF
pgH_PDF_description,en,This page is for viewing and printing PDFs with/without icons. Press print to print.
hlp_print,en,Print
pgH_print_description,en,A PDF file will be generated for the selected report with the visible data on the screen.
hlp_report_first_page,en,Content of the first page of the report
pgH_report_first_page_description,en,"The report contains the header with the logo, the test date, the student’s name, teacher’s name, and their level."
hlp_report_following_pages,en,Content of the following pages of the report
pgH_report_following_pages_description,en,The report prints errors in tests if they belong to the selection rule.
hlp_confMgmt,en,Configuration Management
pgH_confMgmt_description,en,"Logos, header names, and footer messages are configurable by the administrator."
hlp_ctgMgmt,en,Test catalog management
pgH_ctgMgmt_description,en,Test types are defined in the test catalog and are fully configurable by the administrator.
hlp_choose_catalogue,en,Choose the catalog
pgH_choose_catalogue_description,en,Choose a specific test catalog based on the section or level.
hlp_overview,en,Report summary
pgH_overview_description,en,This page shows the summary of the selected report. All data associated with the selected report is displayed.
